Date,Open,High,Low,Close,Volume,Adj Close,Number of Trades,VWAP,Is OTC,Ticker
2024-01-02,187.15,188.44,183.885,185.64,81964874.0,185.64,1008871,185.9465,False,AAPL
2024-01-03,184.22,185.88,183.43,184.25,58414460.0,184.25,656853,184.3226,False,AAPL
2024-01-04,182.15,183.0872,180.88,181.91,71878670.0,181.91,712692,182.0183,False,AAPL
2024-01-05,181.99,182.76,180.17,181.18,62371161.0,181.18,682334,181.474,False,AAPL
2024-01-08,182.085,185.6,181.5,185.56,59144470.0,185.56,669173,184.3702,False,AAPL
2024-01-09,183.92,185.15,182.73,185.14,42841809.0,185.14,538180,184.3706,False,AAPL
2024-01-10,184.35,186.4,183.92,186.19,46192908.0,186.19,554777,185.2509,False,AAPL
2024-01-11,186.54,187.05,183.62,185.59,49128408.0,185.59,584008,185.0604,False,AAPL
2024-01-12,186.06,186.74,185.19,185.92,40477782.0,185.92,477050,185.8199,False,AAPL
2024-01-16,182.16,184.26,180.934,183.63,65076641.0,183.63,767281,182.8866,False,AAPL
2024-01-17,181.27,182.93,180.3,182.68,47317433.0,182.68,594632,181.9201,False,AAPL
2024-01-18,186.09,189.14,185.83,188.63,77722754.0,188.63,787233,187.9358,False,AAPL
2024-01-19,189.33,191.95,188.82,191.56,68887985.0,191.56,682663,190.6149,False,AAPL
2024-01-22,192.3,195.33,192.26,193.89,60131852.0,193.89,718107,193.9891,False,AAPL
2024-01-23,195.02,195.75,193.8299,195.18,42355590.0,195.18,533093,194.8203,False,AAPL
2024-01-24,195.42,196.38,194.34,194.5,53631316.0,194.5,594714,195.2063,False,AAPL
2024-01-25,195.22,196.2675,193.1125,194.17,54822126.0,194.17,644526,194.7337,False,AAPL
2024-01-26,194.27,194.76,191.94,192.42,44587111.0,192.42,534165,193.1207,False,AAPL
2024-01-29,192.01,192.2,189.58,191.73,47145622.0,191.73,599513,191.2954,False,AAPL
2024-01-30,190.94,191.8,187.47,188.04,55836970.0,188.04,690705,188.7927,False,AAPL
2024-01-31,187.04,187.095,184.35,184.4,55467803.0,184.4,679844,185.3525,False,AAPL
2024-02-01,183.985,186.95,183.82,186.86,64885408.0,186.86,820977,185.5688,False,AAPL
2024-02-02,179.86,187.33,179.25,185.85,102527680.0,185.85,1108465,184.744,False,AAPL
2024-02-05,188.15,189.25,185.84,187.68,69654320.0,187.68,804748,187.6824,False,AAPL
